Time,Source,Destination,Protocol,Length,Predicted_Protocol,Max_Probability
51.756525,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.75792,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.764531,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.766292,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.779705,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.783693,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.83
51.809757,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.84
51.913756,127.0.0.1,127.0.0.1,TCP,1190,TLSv1.3,0.8
52.023958,127.0.0.1,127.0.0.1,TCP,111,TLSv1.3,0.85
52.089614,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.84
52.090048,127.0.0.1,127.0.0.1,TCP,96,TLSv1.3,0.85
52.403875,127.0.0.1,127.0.0.1,TCP,56,TCP,0.95
52.403991,127.0.0.1,127.0.0.1,TCP,56,TCP,0.95
52.404789,127.0.0.1,127.0.0.1,TCP,53,TCP,0.95
52.405092,127.0.0.1,127.0.0.1,TCP,53,TCP,0.95
52.405516,127.0.0.1,127.0.0.1,TCP,53,TCP,0.95
52.405779,127.0.0.1,127.0.0.1,TCP,515,TLSv1.3,0.88
52.990474,127.0.0.1,127.0.0.1,TCP,788,TLSv1.3,0.86
53.050849,127.0.0.1,127.0.0.1,TCP,403,TLSv1.3,0.86
53.105116,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.84
53.164381,127.0.0.1,127.0.0.1,TCP,1168,TLSv1.3,0.8
53.657919,127.0.0.1,127.0.0.1,TCP,159,TLSv1.3,0.86
53.783361,127.0.0.1,127.0.0.1,TCP,284,TLSv1.3,0.84
53.84613,127.0.0.1,127.0.0.1,TCP,171,TLSv1.3,0.86
53.895958,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.84
53.896395,127.0.0.1,127.0.0.1,TCP,245,TLSv1.3,0.82
54.701483,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.86
54.701701,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.87
54.702089,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.86
54.702217,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.86
55.701361,127.0.0.1,127.0.0.1,TCP,105,TLSv1.3,0.89
55.701577,127.0.0.1,127.0.0.1,TCP,122,TLSv1.3,0.9
55.701899,127.0.0.1,127.0.0.1,TCP,101,TLSv1.3,0.89
55.702022,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.89
56.487221,127.0.0.1,127.0.0.1,TCP,107,TLSv1.3,0.89
56.542555,127.0.0.1,127.0.0.1,TCP,352,TLSv1.3,0.86
56.606056,127.0.0.1,127.0.0.1,TCP,737,TLSv1.3,0.88
56.609784,127.0.0.1,127.0.0.1,TCP,191,TLSv1.3,0.89
56.61247,127.0.0.1,127.0.0.1,TCP,149,TLSv1.3,0.89
56.613596,127.0.0.1,127.0.0.1,TCP,149,TLSv1.3,0.89
56.623019,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.88
56.627162,127.0.0.1,127.0.0.1,TCP,86,TLSv1.3,0.88
56.733985,127.0.0.1,127.0.0.1,TCP,132,TLSv1.3,0.9
56.797982,127.0.0.1,127.0.0.1,TCP,87,TLSv1.3,0.89
56.823097,127.0.0.1,127.0.0.1,TCP,98,TLSv1.3,0.9
56.823302,127.0.0.1,127.0.0.1,TCP,53,TCP,0.96
57.147403,127.0.0.1,127.0.0.1,TCP,56,TCP,0.96
57.147625,127.0.0.1,127.0.0.1,TCP,56,TCP,0.96
57.148147,127.0.0.1,127.0.0.1,TCP,53,TCP,0.96
57.148359,127.0.0.1,127.0.0.1,TCP,53,TCP,0.96
57.148566,127.0.0.1,127.0.0.1,TCP,152,TLSv1.3,0.9
57.14907,127.0.0.1,127.0.0.1,TCP,179,TLSv1.3,0.9
