Time,Source,Destination,Protocol,Length,Original_Protocol,Predicted_Protocol,Max_Probability
16.155937,-1,-1,TCP,54,TCP,TCP,0.97
16.155964,-1,-1,TCP,54,TCP,TCP,0.97
16.155994,-1,-1,TCP,54,TCP,TCP,0.97
16.156035,-1,-1,TCP,54,TCP,TCP,0.97
16.156126,-1,-1,TCP,54,TCP,TCP,0.97
16.156157,-1,-1,TCP,54,TCP,TCP,0.97
16.156202,-1,-1,TCP,54,TCP,TCP,0.97
16.15624,-1,-1,TCP,54,TCP,TCP,0.97
16.156277,-1,-1,TCP,54,TCP,TCP,0.97
16.156316,-1,-1,TCP,54,TCP,TCP,0.97
16.156352,-1,-1,TCP,54,TCP,TCP,0.97
16.160197,-1,-1,TCP,66,TCP,TCP,0.9
16.390469,-1,-1,TCP,66,TCP,TCP,0.9
16.390588,-1,-1,TCP,54,TCP,TCP,0.97
16.404051,-1,-1,TCP,54,TCP,TCP,0.97
16.406547,-1,-1,TCP,54,TCP,TCP,0.97
16.486202,-1,-1,TCP,54,TCP,TCP,0.97
16.488372,-1,-1,TCP,54,TCP,TCP,0.97
16.514539,-1,-1,TCP,54,TCP,TCP,0.97
16.645349,-1,-1,TCP,54,TCP,TCP,0.97
16.645349,-1,-1,TCP,54,TCP,TCP,0.97
16.656487,-1,-1,TCP,54,TCP,TCP,0.97
16.660014,-1,-1,TCP,54,TCP,TCP,0.97
16.68297,-1,-1,TCP,54,TCP,TCP,0.97
16.684083,-1,-1,TCP,54,TCP,TCP,0.97
16.768182,-1,-1,TCP,54,TCP,TCP,0.97
16.768254,-1,-1,TCP,54,TCP,TCP,0.97
16.768269,-1,-1,TCP,54,TCP,TCP,0.97
16.768282,-1,-1,TCP,54,TCP,TCP,0.97
16.768295,-1,-1,TCP,54,TCP,TCP,0.97
16.768311,-1,-1,TCP,54,TCP,TCP,0.97
16.768324,-1,-1,TCP,54,TCP,TCP,0.97
16.768349,-1,-1,TCP,54,TCP,TCP,0.97
16.768365,-1,-1,TCP,54,TCP,TCP,0.97
16.768387,-1,-1,TCP,54,TCP,TCP,0.97
16.768401,-1,-1,TCP,54,TCP,TCP,0.97
16.768418,-1,-1,TCP,54,TCP,TCP,0.97
16.76843,-1,-1,TCP,54,TCP,TCP,0.97
16.768533,-1,-1,TCP,54,TCP,TCP,0.97
17.00073,-1,-1,TCP,66,TCP,TCP,0.9
17.000826,-1,-1,TCP,54,TCP,TCP,0.97
17.025666,-1,-1,TCP,66,TCP,TCP,0.9
17.026224,-1,-1,TCP,66,TCP,TCP,0.9
17.026224,-1,-1,TCP,66,TCP,TCP,0.9
17.028991,-1,-1,TCP,66,TCP,TCP,0.9
17.028991,-1,-1,TCP,66,TCP,TCP,0.9
17.029174,-1,-1,TCP,54,TCP,TCP,0.97
17.029241,-1,-1,TCP,54,TCP,TCP,0.97
17.034895,-1,-1,TCP,66,TCP,TCP,0.9
17.03508,-1,-1,TCP,54,TCP,TCP,0.97
17.048016,-1,-1,TCP,66,TCP,TCP,0.9
17.049094,-1,-1,TCP,66,TCP,TCP,0.9
17.049297,-1,-1,TCP,66,TCP,TCP,0.9
17.049553,-1,-1,TCP,66,TCP,TCP,0.9
17.049791,-1,-1,TCP,66,TCP,TCP,0.9
17.050222,-1,-1,TCP,66,TCP,TCP,0.9
17.050431,-1,-1,TCP,66,TCP,TCP,0.9
17.051254,-1,-1,TCP,66,TCP,TCP,0.9
17.051378,-1,-1,TCP,66,TCP,TCP,0.9
17.051798,-1,-1,TCP,66,TCP,TCP,0.9
17.05227,-1,-1,TCP,66,TCP,TCP,0.9
17.052377,-1,-1,TCP,54,TCP,TCP,0.97
17.052721,-1,-1,TCP,66,TCP,TCP,0.9
17.052721,-1,-1,TCP,66,TCP,TCP,0.9
17.052823,-1,-1,TCP,54,TCP,TCP,0.97
17.052862,-1,-1,TCP,54,TCP,TCP,0.97
17.057211,-1,-1,TCP,54,TCP,TCP,0.97
17.057211,-1,-1,TCP,66,TCP,TCP,0.9
17.057211,-1,-1,TCP,66,TCP,TCP,0.9
17.057211,-1,-1,TCP,54,TCP,TCP,0.97
17.057211,-1,-1,TCP,66,TCP,TCP,0.9
17.057211,-1,-1,TCP,54,TCP,TCP,0.97
17.05765,-1,-1,TCP,54,TCP,TCP,0.97
17.057725,-1,-1,TCP,54,TCP,TCP,0.97
17.057747,-1,-1,TCP,54,TCP,TCP,0.97
17.057767,-1,-1,TCP,54,TCP,TCP,0.97
17.057794,-1,-1,TCP,54,TCP,TCP,0.97
17.05796,-1,-1,TCP,54,TCP,TCP,0.97
17.058226,-1,-1,TCP,54,TCP,TCP,0.97
17.066309,-1,-1,TCP,54,TCP,TCP,0.97
17.066429,-1,-1,TCP,54,TCP,TCP,0.97
17.066582,-1,-1,TCP,66,TCP,TCP,0.9
17.066667,-1,-1,TCP,54,TCP,TCP,0.97
17.066704,-1,-1,TCP,54,TCP,TCP,0.97
17.066727,-1,-1,TCP,66,TCP,TCP,0.9
17.066765,-1,-1,TCP,54,TCP,TCP,0.97
17.066826,-1,-1,TCP,54,TCP,TCP,0.97
17.066926,-1,-1,TCP,54,TCP,TCP,0.97
17.066926,-1,-1,TCP,54,TCP,TCP,0.97
17.066926,-1,-1,TCP,54,TCP,TCP,0.97
17.067127,-1,-1,TCP,54,TCP,TCP,0.97
17.067153,-1,-1,TCP,54,TCP,TCP,0.97
17.06717,-1,-1,TCP,54,TCP,TCP,0.97
17.067194,-1,-1,TCP,54,TCP,TCP,0.97
17.067207,-1,-1,TCP,54,TCP,TCP,0.97
17.067292,-1,-1,TCP,66,TCP,TCP,0.9
17.067336,-1,-1,TCP,54,TCP,TCP,0.97
17.076826,-1,-1,TCP,66,TCP,TCP,0.9
17.076898,-1,-1,TCP,66,TCP,TCP,0.9
17.07702,-1,-1,TCP,54,TCP,TCP,0.97
17.077225,-1,-1,TCP,54,TCP,TCP,0.97
17.077247,-1,-1,TCP,54,TCP,TCP,0.97
17.077259,-1,-1,TCP,54,TCP,TCP,0.97
17.078194,-1,-1,TCP,54,TCP,TCP,0.97
17.078214,-1,-1,TCP,54,TCP,TCP,0.97
17.078787,-1,-1,TCP,54,TCP,TCP,0.97
17.082998,-1,-1,TCP,54,TCP,TCP,0.97
17.086751,-1,-1,TCP,54,TCP,TCP,0.97
17.086862,-1,-1,TCP,54,TCP,TCP,0.97
17.086862,-1,-1,TCP,54,TCP,TCP,0.97
17.086862,-1,-1,TCP,54,TCP,TCP,0.97
17.087061,-1,-1,TCP,54,TCP,TCP,0.97
17.087118,-1,-1,TCP,54,TCP,TCP,0.97
17.087147,-1,-1,TCP,54,TCP,TCP,0.97
17.087275,-1,-1,TCP,54,TCP,TCP,0.97
17.087358,-1,-1,TCP,54,TCP,TCP,0.97
17.091858,-1,-1,TCP,54,TCP,TCP,0.97
17.092722,-1,-1,TCP,54,TCP,TCP,0.97
17.095248,-1,-1,TCP,54,TCP,TCP,0.97
17.095657,-1,-1,TCP,54,TCP,TCP,0.97
17.103387,-1,-1,TCP,54,TCP,TCP,0.97
17.103521,-1,-1,TCP,54,TCP,TCP,0.97
17.103594,-1,-1,TCP,54,TCP,TCP,0.97
17.103619,-1,-1,TCP,54,TCP,TCP,0.97
17.103687,-1,-1,TCP,54,TCP,TCP,0.97
17.103815,-1,-1,TCP,54,TCP,TCP,0.97
17.106574,-1,-1,TCP,54,TCP,TCP,0.97
17.106636,-1,-1,TCP,54,TCP,TCP,0.97
17.106725,-1,-1,TCP,54,TCP,TCP,0.97
17.107419,-1,-1,TCP,54,TCP,TCP,0.97
17.10748,-1,-1,TCP,54,TCP,TCP,0.97
17.108948,-1,-1,TCP,54,TCP,TCP,0.97
17.109009,-1,-1,TCP,54,TCP,TCP,0.97
17.110651,-1,-1,TCP,54,TCP,TCP,0.97
17.110924,-1,-1,TCP,54,TCP,TCP,0.97
17.111036,-1,-1,TCP,54,TCP,TCP,0.97
17.111701,-1,-1,TCP,54,TCP,TCP,0.97
17.112818,-1,-1,TCP,54,TCP,TCP,0.97
17.113319,-1,-1,TCP,54,TCP,TCP,0.97
